sport,event,year,num_athletes,num_countries,medals_awarded,medal_rate
Weightlifting,Weightlifting Men's Middleweight,1984,21,17,21,1.0
Alpine Skiing,Alpine Skiing Women's Giant Slalom,1988,64,26,64,1.0
Athletics,"Athletics Men's 1,500 metres",1996,57,37,57,1.0
Fencing,"Fencing Women's epee, Individual",2012,37,20,37,1.0
Equestrianism,"Equestrianism Mixed Jumping, Team",1980,24,6,24,1.0
Equestrianism,"Equestrianism Mixed Jumping, Team",1984,59,15,59,1.0
Snowboarding,Snowboarding Women's Halfpipe,1998,26,11,26,1.0
Athletics,Athletics Men's Javelin Throw,1948,23,15,23,1.0
Sailing,Sailing Mixed 1-2 Ton,1900,22,3,40,1.8182
Weightlifting,Weightlifting Men's Super-Heavyweight,1996,18,15,18,1.0
Rowing,Rowing Men's Coxless Fours,1960,64,16,64,1.0
Baseball,Baseball Men's Baseball,2000,192,8,192,1.0
Athletics,"Athletics Men's 1,500 metres",2004,38,26,38,1.0
Swimming,Swimming Women's 100 metres Backstroke,1980,26,18,26,1.0
Gymnastics,Gymnastics Men's Parallel Bars,1988,89,22,89,1.0
Wrestling,"Wrestling Men's Middleweight, Freestyle",1996,21,21,21,1.0
Shooting,"Shooting Women's Air Rifle, 10 metres",2000,49,35,49,1.0
Gymnastics,Gymnastics Men's Team All-Around,1920,120,5,120,1.0
Swimming,Swimming Women's 400 metres Freestyle,1936,20,10,20,1.0
Figure Skating,Figure Skating Women's Singles,1976,21,14,21,1.0
Cycling,Cycling Men's Sprint,1992,23,23,23,1.0
Beach Volleyball,Beach Volleyball Men's Beach Volleyball,2012,48,19,48,1.0
Speed Skating,Speed Skating Men's 500 metres,2006,37,12,37,1.0
Rowing,Rowing Women's Single Sculls,2012,28,28,28,1.0
Judo,Judo Women's Half-Middleweight,1996,24,23,24,1.0
Shooting,"Shooting Men's Running Target, 10 metres",1992,24,15,24,1.0
Rowing,Rowing Men's Coxless Pairs,1988,37,17,37,1.0
Cycling,"Cycling Men's Individual Pursuit, 4,000 metres",1988,22,21,22,1.0
Fencing,"Fencing Men's Sabre, Team",1920,50,8,50,1.0
Equestrianism,"Equestrianism Mixed Jumping, Team",1968,44,15,44,1.0
Fencing,"Fencing Men's Foil, Individual",1932,26,12,26,1.0
Athletics,Athletics Men's Pentathlon (Ancient),1906,26,11,26,1.0
Wrestling,"Wrestling Men's Light-Flyweight, Greco-Roman",1984,12,12,12,1.0
Weightlifting,Weightlifting Men's Lightweight,1976,23,17,23,1.0
Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",1964,11,11,11,1.0
Sailing,Sailing Mixed Three Person Keelboat,1948,40,12,40,1.0
Swimming,Swimming Women's 400 metres Freestyle,2016,32,25,32,1.0
Athletics,"Athletics Men's 1,600 metres Medley Relay",1908,29,7,29,1.0
Sailing,Sailing Men's One Person Dinghy,2004,25,25,25,1.0
Archery,Archery Women's Team,2000,36,12,36,1.0
Judo,Judo Men's Middleweight,1964,25,20,25,1.0
Fencing,"Fencing Men's Foil, Team",1964,78,16,78,1.0
Boxing,Boxing Men's Heavyweight,1952,21,21,21,1.0
Gymnastics,Gymnastics Men's Team All-Around,1964,108,18,108,1.0
Nordic Combined,Nordic Combined Men's Individual,1972,40,13,40,1.0
Luge,Luge Men's Singles,2014,39,22,39,1.0
Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",1992,42,24,42,1.0
Gymnastics,Gymnastics Men's Team All-Around,1912,91,5,91,1.0
Athletics,Athletics Women's Marathon,1984,50,28,50,1.0
Fencing,"Fencing Men's epee, Individual",1956,41,18,41,1.0
Gymnastics,Gymnastics Women's Uneven Bars,2008,84,34,84,1.0
Athletics,"Athletics Men's 3,000 metres Steeplechase",2012,39,27,39,1.0
Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,1998,63,25,63,1.0
Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,1988,52,16,52,1.0
Gymnastics,Gymnastics Women's Horse Vault,2012,18,15,18,1.0
Archery,Archery Men's Individual,1992,75,33,75,1.0
Figure Skating,Figure Skating Mixed Pairs,1994,36,10,36,1.0
Nordic Combined,Nordic Combined Men's Team,1988,32,10,32,1.0
Cycling,Cycling Women's Individual Time Trial,2000,23,13,23,1.0
Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,2012,73,16,73,1.0
Freestyle Skiing,Freestyle Skiing Women's Ski Cross,2010,35,17,35,1.0
Wrestling,"Wrestling Men's Welterweight, Freestyle",1992,18,18,18,1.0
Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",1936,15,15,15,1.0
Boxing,Boxing Men's Light-Flyweight,1976,27,27,27,1.0
Athletics,Athletics Men's 4 x 100 metres Relay,1968,76,18,76,1.0
Athletics,Athletics Men's Discus Throw,1928,34,19,34,1.0
Swimming,Swimming Women's 200 metres Breaststroke,2016,29,21,29,1.0
Rowing,Rowing Men's Single Sculls,1924,8,8,8,1.0
Boxing,Boxing Men's Middleweight,1984,27,27,27,1.0
Cycling,Cycling Women's Sprint,2012,18,17,18,1.0
Wrestling,"Wrestling Men's Lightweight, Freestyle",2000,19,19,19,1.0
Luge,Luge Men's Singles,1980,30,12,30,1.0
